N,target,steps_tested,initial_target_probability,P_max,t_max,classical_mean_hitting_time,max_normalization_error
8,3,32,0.125,0.2812499999999993,14,14.917333333333334,6.106226635438361e-15
16,6,64,0.0625,0.1490285057225253,48,60.50066666666667,1.0880185641326534e-14
32,12,128,0.03125,0.07540106914465575,98,236.63466666666667,2.2870594307278225e-14
64,24,256,0.015625,0.03574816019700769,205,958.3246666666666,4.518607710224387e-14
128,48,512,0.0078125,0.020168350307134965,191,3804.4126666666666,9.08162434143378e-14
